endTime,artistName,trackName,msPlayed,year_x,month,day,hour,weekday,date,track_id,popularity,genres,id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year_y,release_date
2024-06-07 05:50:00,Rick and Morty,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],56246,2024,6,7,5,Friday,2024-06-07,1VbiENVGHwF5Y70Ywotwe1,55,,1VbiENVGHwF5Y70Ywotwe1,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],36hmo7ODAmoUoLAy2mFa1P,"['Rick and Morty', 'Kotomi', 'Ryan Elder']","['2M0kKcVuBsLFH5d12pW215', '2DkkZhwyZWHflCcjGEA6Nu', '4Pb4bahbtpK9nkdfp4bHgi']",1.0,1.0,False,0.595,0.396,0.0,-16.102999999999998,1.0,0.0344,0.688,0.275,0.132,0.22,100.018,207000.0,4.0,2020.0,2020-06-01
2024-06-07 05:57:00,Lotus Juice,Color Your Night,224219,2024,6,7,5,Friday,2024-06-07,4pjFNyjGaoKgLTnndISP6V,70,japanese vgm,,,,,,,,,,,,,,,,,,,,,,,,
